CardId,Name,OriginalType,ModeCount,ModeIds,Auto
100001,.44 Magnum,Equipment,1,100001:EQUIPMENT,yes
100002,419 Operation,Action,1,100002:ACTION,yes
102217,47th Street Royals,Ally,1,102217:ALLY,yes
100003,Aaron's Feeding Razor,Equipment,1,100003:EQUIPMENT,yes
100004,Abactor,Action,1,100004:ACTION,yes
100005,Abandoning the Flesh,Combat/Reaction,2,100005:COMBAT:dem|100005:REACTION:dem,no
100006,Abbot,Action,1,100006:ACTION,yes
100007,Abjure,Power,1,100007:COMBAT,yes
100008,Ablative Skin,Action,2,100008:ACTION:for|100008:ACTION:FOR,yes
100009,Abombwe,Master,1,100009:MASTER,yes
100010,Abomination,Action,1,100010:ACTION,yes
100011,Absimiliard's Army,Event,1,100011:EVENT,yes
102308,Absolute Tyranny,Action Modifier/Reaction,4,102308:MODIFIER:pot+pre|102308:REACTION:pot+pre|102308:MODIFIER:POT+PRE|102308:REACTION:POT+PRE,no
100012,Absolution of the Diabolist,Master,1,100012:MASTER,yes
100013,Absorb the Mind,Combat,3,100013:COMBAT:dom|100013:COMBAT:myt|100013:COMBAT:MYT,yes
102309,Abuse of Power,Action,1,102309:ACTION,yes
100014,Abyssal Hunter,Ally,1,100014:ALLY,yes
100015,Academic Hunting Ground,Master,1,100015:MASTER,yes
100016,Acheron Vortex,Action Modifier,1,100016:MODIFIER,yes
100017,Achilles' Heel,Master,1,100017:MASTER,yes
100018,Aching Beauty,Master,1,100018:MASTER,yes
100019,Acquired Ventrue Assets,Master,1,100019:MASTER,yes
100020,Acrobatics,Combat,2,100020:COMBAT:cel|100020:COMBAT:CEL,yes
100021,Adaptability,Combat,2,100021:COMBAT:pro|100021:COMBAT:PRO,yes
100022,Adhocracy,Action Modifier,3,100022:MODIFIER:ani|100022:MODIFIER:chi|100022:MODIFIER:pot,yes
100023,"Admonitions, The",Master,1,100023:MASTER,yes
100024,Agate Talisman,Equipment,1,100024:EQUIPMENT,yes
100025,Agent of Power,Master,1,100025:MASTER,yes
102286,Aggressive Corpse,Ally,1,102286:ALLY,yes
100026,Aggressive Tactics,Master,1,100026:MASTER,yes
100027,Ahriman's Demesne,Combat,2,100027:COMBAT:obt|100027:COMBAT:OBT,yes
100028,Ahrimane Protectorate,Action,1,100028:ACTION,yes
100029,Aid from Bats,Combat,2,100029:COMBAT:ani|100029:COMBAT:ANI,yes
100030,"Ailing Spirit, The",Action,3,100030:ACTION:dom|100030:ACTION:obe|100030:ACTION:OBE,yes
100031,Aire of Elation,Action Modifier,2,100031:MODIFIER:pre|100031:MODIFIER:PRE,yes
100032,AK-47,Equipment,1,100032:EQUIPMENT,yes
100033,"Akhenaten, The Sun Pharaoh",Ally,1,100033:ALLY,yes
100034,Akunanse Kholo,Action Modifier/Reaction,2,100034:MODIFIER|100034:REACTION,no
100035,Al's Army Apparatus,Master,1,100035:MASTER,yes
100036,Alacrity,Action Modifier,2,100036:MODIFIER:cel|100036:MODIFIER:CEL,yes
100037,Alamut,Master,1,100037:MASTER,yes
100038,Alastor,Political Action,1,100038:POLITICAL,yes
100039,"Alia, God's Messenger",Ally,1,100039:ALLY,yes
100040,Alpha Glint,Combat,2,100040:COMBAT:ani+for|100040:COMBAT:ANI+FOR,yes
100041,Alvusia,Master,1,100041:MASTER,yes
100042,Amam the Devourer,Ally,1,100042:ALLY,yes
100043,Amaranth,Combat,1,100043:COMBAT,yes
100044,"Ambrosius, The Ferryman",Ally,1,100044:ALLY,yes
100045,Ambulance,Equipment,1,100045:EQUIPMENT,yes
100046,Ambush,Action,1,100046:ACTION,yes
102274,Amici Noctis,Action Modifier,1,102274:MODIFIER,yes
100047,Amria,Combat,2,100047:COMBAT:chi|100047:COMBAT:CHI,yes
100048,Amulet of Temporal Perception,Equipment,1,100048:EQUIPMENT,yes
100049,Amusement Park Hunting Ground,Master,1,100049:MASTER,yes
100050,Anachronism,Master,1,100050:MASTER,yes
100051,Ananasi Vampirephile,Ally,1,100051:ALLY,yes
100052,"Anarch Free Press, The",Master,1,100052:MASTER,yes
100053,"Anarch Manifesto, An",Equipment,1,100053:EQUIPMENT,yes
100054,Anarch Railroad,Master,1,100054:MASTER,yes
100055,Anarch Revolt,Master,1,100055:MASTER,yes
100056,Anarch Salon,Political Action,1,100056:POLITICAL,yes
100057,Anarch Secession,Action,1,100057:ACTION,yes
100058,Anarch Troublemaker,Master,1,100058:MASTER,yes
100059,Anarchist Uprising,Political Action,1,100059:POLITICAL,yes
100060,Anathema,Political Action,1,100060:POLITICAL,yes
100061,Ancestor Spirit,Master,1,100061:MASTER,yes
100062,Ancestor's Insight,Action Modifier/Reaction,2,100062:REACTION:aus|100062:MODIFIER:AUS,yes
100063,"Ancestor's Talisman, The",Equipment,1,100063:EQUIPMENT,yes
100064,Ancient Influence,Political Action,1,100064:POLITICAL,yes
100065,Ancilla Empowerment,Political Action,1,100065:POLITICAL,yes
100066,Anesthetic Touch,Combat,3,100066:COMBAT:aus|100066:COMBAT:obe|100066:COMBAT:OBE,yes
100067,Angel of Berlin,Master,1,100067:MASTER,yes
102349,Angel's Gift,Combat,2,102349:COMBAT:1|102349:COMBAT:2,yes
100068,Anima Gathering,Action,2,100068:ACTION:aus|100068:ACTION:AUS,yes
100069,Animal Magnetism,Action Modifier,2,100069:MODIFIER:ani+obf|100069:MODIFIER:ANI+OBF,yes
100070,Animalism,Master,1,100070:MASTER,yes
100071,"Ankara Citadel, Turkey, The",Equipment,1,100071:EQUIPMENT,yes
100072,Anonymous Freight,Action,1,100072:ACTION,yes
100073,Antediluvian Awakening,Master,1,100073:MASTER,yes
100074,"Anthelios, The Red Star",Event,1,100074:EVENT,yes
