CardId,ModeId,Name,OriginalType,DeclaredType,ClanRequirement,PathRequirement,SourceDiscipline,PoolCost,BloodCost,ConvictionCost,BurnOption,DisciplineRequirement,Level,CardText,Transformed,Auto
100001,100001:EQUIPMENT,.44 Magnum,Equipment,Equipment,,,,2,,,,,none,"Weapon: gun.
Strike: 2R damage, with 1 optional maneuver each combat.",no,yes
100002,100002:ACTION,419 Operation,Action,Action,Osebo,,,,,,,,none,"+1 stealth action.
Put this card in play. During your unlock phase, you may move 1 pool from your prey's pool to this card or move the pool on this card to your pool. Your prey can burn the Edge to move the counters on this card to his or her pool and burn this card.",no,yes
102217,102217:ALLY,47th Street Royals,Ally,Ally,Brujah,,,,,,,,none,"Unique mortal with 2 life. 1 strength, 0 bleed.
You can burn 47th Street Royals to reduce a bleed against you by 3.",no,yes
100003,100003:EQUIPMENT,Aaron's Feeding Razor,Equipment,Equipment,,,,1,,,,,none,"Unique.
The bearer gets +1 hunt.",no,yes
100004,100004:ACTION,Abactor,Action,Action,,,,,,,,,none,"+1 stealth action.
Hunt at +4 hunt. After successful resolution, a referendum is called to call a blood hunt on this vampire (independent of the action, just as if they had committed diablerie).",no,yes
100005,100005:COMBAT:dem,Abandoning the Flesh,Combat/Reaction,Combat,,,Dementation,,,,,dem,inferior,"Only usable if this vampire would be burned. Usable by a vampire in torpor.
Instead, remove this vampire from the game (diablerie, if any, is canceled) and put this card in play. You can lock this card during a bleed action to give an acting vampire with Dementation [dem] +1 bleed. A Methuselah can have only one Abandoning the Flesh.",no,no
100005,100005:REACTION:dem,Abandoning the Flesh,Combat/Reaction,Reaction,,,Dementation,,,,,dem,inferior,"Only usable if this vampire would be burned. Usable by a vampire in torpor.
Instead, remove this vampire from the game (diablerie, if any, is canceled) and put this card in play. You can lock this card during a bleed action to give an acting vampire with Dementation [dem] +1 bleed. A Methuselah can have only one Abandoning the Flesh.",no,no
100006,100006:ACTION,Abbot,Action,Action,,,,,,,,,none,"+1 stealth action. Requires a Sabbat vampire.
Put this card on this Sabbat vampire and unlock them. This Sabbat vampire gets +1 intercept during actions directed at their controller. A vampire can have only one Abbot.",no,yes
100007,100007:COMBAT,Abjure,Power,Combat,,,Redemption,,,,,,none,"Lock this imbued before range is determined to end a combat between a monster and a mortal. If the mortal is a minion other than this imbued, you may move a conviction [1 CONVICTION] to this imbued from your hand or ash heap.",no,yes
100008,100008:ACTION:for,Ablative Skin,Action,Action,,,Fortitude,,,,,for,inferior,"+1 stealth action.
Put this card on the acting vampire and put 3 ablative counters on this card. While in combat, this vampire may remove any number of ablative counters from this card to prevent that amount of non-aggravated damage. Burn this card when it has no more ablative counters.",no,yes
100008,100008:ACTION:FOR,Ablative Skin,Action,Action,,,Fortitude,,,,,FOR,superior,"+1 stealth action.
Put this card on the acting vampire and put 3 ablative counters on this card. While in combat, this vampire may remove any number of ablative counters from this card to prevent that amount of non-aggravated damage. Burn this card when it has no more ablative counters, but this vampire may also prevent aggravated damage in combat in this way.",no,yes
